vessel_name,imo_raw,imo_valid,record_count,exclude_as_dredge
Mack B,471703170,False,9733,Y
Allisonk,,False,5990,Y
Texas Star,311000000,False,2377,Y
Carnival Valor,9236389,True,1760,
Allins K,,False,1550,Y
Dodge Island,7917800,True,1148,Y
Carnival Glory,9198367,True,759,
Keeneland,,False,709,Y
Ginny Lab,569,False,620,Y
Bulk Xaymaca,9362190,True,599,
Kennington,9664926,True,583,Y
Seaboard Pioneer,9374454,True,536,
Randy Martin,10024346,False,502,Y
White Star,9799109,True,498,
Gas Flawless,9354222,True,492,
Nordic Aki,950597400,False,485,
Carnival Liberty,9278181,True,435,
Ladybower,9798947,True,433,
Seaboard Pride,9294513,True,412,
Stolt Viking,9196711,True,406,
Beylerbeyi,9480370,True,397,
Chesapeake Bay,,False,375,
White Horse,9799111,True,353,
Astoria Harmony,9845972,True,346,
Da Wei Shan,9803118,True,341,
